BCE_validation,BCE_training,BCE_2_validation,BCE_2_training,BCE_3_validation,BCE_3_training
1.1571923,0.985701269,0.940129054,0.930892347,0.7602854,0.740406389
0.96704816,0.95440579,0.932865683,0.930774299,0.741110206,0.73956802
0.947860821,0.939962407,0.932757383,0.930145645,0.740649384,0.739327673
0.933482082,0.926800068,0.758682126,0.701207763,0.74048231,0.739218379
0.921787331,0.916753748,0.694187438,0.685558637,0.740411428,0.739157515
0.911622001,0.907747776,0.680344609,0.673276785,0.74035193,0.739119398
0.903948071,0.90235849,0.669132209,0.66482825,0.740339822,0.739093186
0.896947012,0.895802819,0.661167508,0.658644872,0.740302819,0.739074409
0.890946984,0.890334315,0.655320441,0.654967573,0.740298333,0.739060219
0.885787865,0.88638622,0.651334462,0.650072978,0.740286135,0.739049282
0.882107285,0.882927688,0.647940978,0.648752121,0.740255353,0.739040507
0.878275856,0.882078301,0.645535455,0.646580111,0.740243809,0.739033371
0.875519299,0.878883566,0.643632154,0.644571795,0.74024051,0.739027454
0.873417271,0.87689397,0.641813958,0.643450177,0.74025362,0.739022453
0.870553264,0.874139186,0.640425056,0.643242464,0.740236908,0.739018189
0.868767075,0.873958127,0.639316811,0.641756261,0.740227912,0.739014515
0.866922927,0.871839567,0.638282383,0.641066386,0.740230572,0.739011316
0.865104582,0.869216243,0.637371247,0.639895939,0.740215255,0.739008495
0.863454392,0.868002582,0.636210822,0.639591963,0.740220234,0.739006001
0.861609275,0.869090092,0.635149015,0.638587991,0.74020804,0.739003773
0.86041891,0.867165207,0.634468321,0.638398774,0.740221387,0.739001773
0.859335603,0.866492968,0.633718707,0.6379433,0.740216236,0.738999963
0.858342418,0.865586702,0.633113823,0.63783562,0.740198176,0.738998329
0.85721066,0.865225755,0.632771847,0.637190099,0.740228554,0.738996836
0.856052323,0.863958139,0.632003663,0.637298268,0.740200209,0.738995473
0.855099166,0.862482318,0.631594938,0.635898428,0.740210531,0.738994218
0.853961927,0.862783657,0.631134057,0.635921299,0.740214686,0.738993057
0.852996331,0.864079911,0.630523754,0.635558138,0.740213599,0.738991988
0.852608929,0.861425454,0.630129761,0.635183212,0.740210052,0.738990995
0.851803654,0.86145904,0.629653072,0.635197883,0.74020215,0.738990073
0.851181445,0.860886247,0.629235433,0.634788512,0.740211569,0.738989211
0.850460103,0.860547498,0.628947022,0.63414273,0.740206791,0.738988405
0.85002593,0.859128183,0.628506495,0.634334731,0.74020333,0.738987648
0.849148286,0.857585655,0.628673763,0.634109058,0.7401999,0.738986919
0.848345003,0.858543977,0.628186499,0.634910994,0.740198039,0.738986256
0.847483361,0.858408776,0.627795865,0.633684922,0.740184992,0.738985339
0.847315746,0.856641899,0.627527335,0.633731594,0.740205632,0.738985038
0.846453944,0.858172519,0.62717678,0.633148559,0.740197624,0.738984283
0.846168463,0.856975851,0.627029111,0.63299963,0.740206981,0.738977653
0.845866504,0.857395254,0.626811541,0.633272632,0.74020512,0.738975881
0.845464514,0.856668934,0.626458036,0.632707021,0.740209583,0.73897488
0.845323354,0.855606022,0.62628046,0.632775054,0.740200913,0.738968678
